"","Group.1","Group.2","Group.3","Group.4","Group.5","x","Group.1","Group.2","Group.3","Group.4","Group.5","x"
"120","Woody",140,"Matsuki, & Takayoshi, 2006","herbivore damage","Endara, 2011",0.148885034,"Woody",140,"Matsuki, & Takayoshi, 2006","herbivore damage","Endara, 2011",0.15
"121","Woody",240,"Shure & Wilson 1993","herbivore damage","Endara, 2011",0.158648504,"Woody",240,"Shure & Wilson 1993","herbivore damage","Endara, 2011",0.16
"122","Woody",377,"Skarpe et. al., 2000","herbivore damage","Endara, 2011",0.10955847,"Woody",377,"Skarpe et. al., 2000","herbivore damage","Endara, 2011",0.11
"123","Woody",720,"Skarpe et. al., 2000","herbivore damage","Endara, 2011",0.119427299,"Woody",720,"Skarpe et. al., 2000","herbivore damage","Endara, 2011",0.12
"124","Woody",600,"Smith & Nufio, 2004","herbivore damage","Endara, 2011",0.94022664,"Woody",600,"Smith & Nufio, 2004","herbivore damage","Endara, 2011",1.74
"125","Herbs, Woody",1400,"Southwood, 1986","herbivore damage","Endara, 2011",0.84828364,"Herbs, Woody",1400,"Southwood, 1986","herbivore damage","Endara, 2011",1.25
"126","Herbs",114,"Vasconcelos, 1999","herbivore damage","Endara, 2011",0.178080868,"Herbs",114,"Vasconcelos, 1999","herbivore damage","Endara, 2011",0.18
"127","Herbs",559,"Vasconcelos, 1999","herbivore damage","Endara, 2011",-0.735222253,"Herbs",559,"Vasconcelos, 1999","herbivore damage","Endara, 2011",-0.94
"128","Woody",581,"Vasconcelos, 1999","herbivore damage","Endara, 2011",-0.44624361,"Woody",581,"Vasconcelos, 1999","herbivore damage","Endara, 2011",-0.48
"129","Herbs",2435,"Wilf et al. 2001","herbivore damage","Endara, 2011",0.789461221,"Herbs",2435,"Wilf et al. 2001","herbivore damage","Endara, 2011",1.07
"130","Woody",4002,"Lowman 1992","Leaf lifespan","Endara, 2011",0.9931004315,"Woody",4002,"Lowman 1992","Leaf lifespan","Endara, 2011",2.895
"131","Woody",287,"Reicht et al. 1992","Leaf lifespan","Endara, 2011",0.800824759,"Woody",287,"Reicht et al. 1992","Leaf lifespan","Endara, 2011",1.15
"132","Woody",240,"Shure & Wilson 1993","Plant Growth","Endara, 2011",0.827816361,"Woody",240,"Shure & Wilson 1993","Plant Growth","Endara, 2011",1.276415823
"133","Dasypus novemcinctus",191,"Ancona and Loughry, 2009","","Garamszegi 2012",0.11,"Dasypus novemcinctus",191,"Ancona and Loughry, 2009","","Garamszegi 2012",0.110446916
"134","Gasterosteus aculeatus",122,"Bell and Sih, 2007","","Garamszegi 2012",0.143,"Gasterosteus aculeatus",122,"Bell and Sih, 2007","","Garamszegi 2012",0.143986873
"135","Gasterosteus aculeatus",164,"Bell et al., 2010","","Garamszegi 2012",0.164,"Gasterosteus aculeatus",164,"Bell et al., 2010","","Garamszegi 2012",0.165494508
"136","Tamiasciurus hudsonicus",98,"Boon et al., 2008","","Garamszegi 2012",0.54,"Tamiasciurus hudsonicus",98,"Boon et al., 2008","","Garamszegi 2012",0.604155603
